+----------------------------------------------------+----------+-------------------------------------------------+--------------------------------------------------------------------------------+----------------------------------------------------------------+
| Registry name                                      | Meta/dmg | Display name                                    | Ore Dict Keys                                                                  | NBT                                                            |
| biomesoplenty:flower_0                             |        9 | White Anemone                                   | flowerWhiteAnemone                                                             |                                                                |
| biomesoplenty:flower_0                             |       10 | Enderlotus                                      | flowerEnderlotus                                                               |                                                                |
| biomesoplenty:flower_0                             |       11 | Bromeliad                                       | flowerBromeliad                                                                |                                                                |
| biomesoplenty:flower_0                             |       12 | Wilted Lily                                     | flowerWiltedLily                                                               |                                                                |
| biomesoplenty:flower_0                             |       13 | Pink Hibiscus                                   | flowerPinkHibiscus                                                             |                                                                |
| biomesoplenty:flower_0                             |       14 | Lily of the Valley                              | flowerLilyOfTheValley                                                          |                                                                |
| biomesoplenty:flower_0                             |       15 | Burning Blossom                                 | flowerBurningBlossom                                                           |                                                                |
| biomesoplenty:flower_1                             |        0 | Lavender                                        | flowerLavender                                                                 |                                                                |
| biomesoplenty:flower_1                             |        1 | Goldenrod                                       | flowerGoldenrod                                                                |                                                                |
| biomesoplenty:flower_1                             |        2 | Bluebells                                       | flowerBluebells                                                                |                                                                |
| biomesoplenty:flower_1                             |        3 | Miner's Delight                                 | flowerMinersDelight                                                            |                                                                |
| biomesoplenty:flower_1                             |        4 | Icy Iris                                        | flowerIcyIris                                                                  |                                                                |
| biomesoplenty:flower_1                             |        5 | Rose                                            | flowerRose                                                                     |                                                                |
| biomesoplenty:gem                                  |        0 | Ender Amethyst                                  | gemAmethyst                                                                    |                                                                |
| biomesoplenty:gem                                  |        1 | Ruby                                            | gemRuby                                                                        |                                                                |
| biomesoplenty:gem                                  |        2 | Peridot                                         | gemPeridot                                                                     |                                                                |
| biomesoplenty:gem                                  |        3 | Topaz                                           | gemTopaz                                                                       |                                                                |
| biomesoplenty:gem                                  |        4 | Tanzanite                                       | gemTanzanite                                                                   |                                                                |
| biomesoplenty:gem                                  |        5 | Malachite                                       | gemMalachite                                                                   |                                                                |
| biomesoplenty:gem                                  |        6 | Sapphire                                        | gemSapphire                                                                    |                                                                |
| biomesoplenty:gem                                  |        7 | Amber                                           | gemAmber                                                                       |                                                                |
| biomesoplenty:gem_block                            |        0 | Block of Amethyst                               | blockAmethyst                                                                  |                                                                |
| biomesoplenty:gem_block                            |        1 | Block of Ruby                                   | blockRuby                                                                      |                                                                |
| biomesoplenty:gem_block                            |        2 | Block of Peridot                                | blockPeridot                                                                   |                                                                |
| biomesoplenty:gem_block                            |        3 | Block of Topaz                                  | blockTopaz                                                                     |                                                                |
| biomesoplenty:gem_block                            |        4 | Block of Tanzanite                              | blockTanzanite                                                                 |                                                                |
| biomesoplenty:gem_block                            |        5 | Block of Malachite                              | blockMalachite                                                                 |                                                                |
| biomesoplenty:gem_block                            |        6 | Block of Sapphire                               | blockSapphire                                                                  |                                                                |
| biomesoplenty:gem_block                            |        7 | Block of Amber                                  | blockAmber                                                                     |                                                                |
| biomesoplenty:gem_ore                              |        0 | Ender Amethyst Ore                              | oreAmethyst                                                                    |                                                                |
| biomesoplenty:gem_ore                              |        1 | Ruby Ore                                        | oreRuby                                                                        |                                                                |
| biomesoplenty:gem_ore                              |        2 | Peridot Ore                                     | orePeridot                                                                     |                                                                |
| biomesoplenty:gem_ore                              |        3 | Topaz Ore                                       | oreTopaz                                                                       |                                                                |
| biomesoplenty:gem_ore                              |        4 | Tanzanite Ore                                   | oreTanzanite                                                                   |                                                                |
| biomesoplenty:gem_ore                              |        5 | Malachite Ore                                   | oreMalachite                                                                   |                                                                |
| biomesoplenty:gem_ore                              |        6 | Sapphire Ore                                    | oreSapphire                                                                    |                                                                |
| biomesoplenty:gem_ore                              |        7 | Amber Ore                                       | oreAmber                                                                       |                                                                |
| biomesoplenty:grass                                |        0 | Spectral Moss                                   | grass                                                                          |                                                                |
| biomesoplenty:green_dye                            |        0 | Green Dye                                       | dyeGreen                                                                       |                                                                |
| biomesoplenty:hellbark_fence                       |        0 | Hellbark Fence                                  | fenceWood                                                                      |                                                                |
| biomesoplenty:hellbark_fence_gate                  |        0 | Hellbark Fence Gate                             | fenceGateWood                                                                  |                                                                |
| biomesoplenty:hellbark_stairs                      |        0 | Hellbark Wood Stairs                            | stairWood                                                                      |                                                                |
| biomesoplenty:jacaranda_fence                      |        0 | Jacaranda Fence                                 | fenceWood                                                                      |                                                                |
| biomesoplenty:jacaranda_fence_gate                 |        0 | Jacaranda Fence Gate                            | fenceGateWood                                                                  |                                                                |
| biomesoplenty:jacaranda_stairs                     |        0 | Jacaranda Wood Stairs                           | stairWood                                                                      |                                                                |
| biomesoplenty:leaves_0                             |        8 | Yellow Autumn Leaves                            | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_0                             |        9 | Orange Autumn Leaves                            | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_0                             |       10 | Bamboo Leaves                                   | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_0                             |       11 | Magic Leaves                                    | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_1                             |        8 | Umbran Leaves                                   | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_1                             |        9 | Dead Leaves                                     | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_1                             |       10 | Fir Leaves                                      | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_1                             |       11 | Ethereal Leaves                                 | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_2                             |        8 | Origin Leaves                                   | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_2                             |        9 | Pink Cherry Leaves                              | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_2                             |       10 | White Cherry Leaves                             | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_2                             |       11 | Maple Leaves                                    | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_3                             |        8 | Hellbark Leaves                                 | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_3                             |        9 | Flowering Oak Leaves                            | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_3                             |       10 | Jacaranda Leaves                                | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_3                             |       11 | Sacred Oak Leaves                               | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_4                             |        8 | Mangrove Leaves                                 | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_4                             |        9 | Palm Leaves                                     | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_4                             |       10 | Redwood Leaves                                  | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_4                             |       11 | Willow Leaves                                   | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_5                             |        8 | Pine Leaves                                     | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_5                             |        9 | Mahogany Leaves                                 | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_5                             |       10 | Ebony Leaves                                    | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_5                             |       11 | Eucalyptus Leaves                               | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_6                             |        8 | Giant Red Flower Petal                          | treeLeaves                                                                     |                                                                |
| biomesoplenty:leaves_6                             |        9 | Giant Yellow Flower Petal                       | treeLeaves                                                                     |                                                                |
| biomesoplenty:log_0                                |        4 | Sacred Oak Wood                                 | logWood                                                                        |                                                                |
| biomesoplenty:log_0                                |        5 | Cherry Wood                                     | logWood                                                                        |                                                                |
| biomesoplenty:log_0                                |        6 | Umbran Wood                                     | logWood                                                                        |                                                                |
| biomesoplenty:log_0                                |        7 | Fir Wood                                        | logWood                                                                        |                                                                |
| biomesoplenty:log_1                                |        4 | Ethereal Wood                                   | logWood                                                                        |                                                                |
| biomesoplenty:log_1                                |        5 | Magic Wood                                      | logWood                                                                        |                                                                |
| biomesoplenty:log_1                                |        6 | Mangrove Wood                                   | logWood                                                                        |                                                                |
| biomesoplenty:log_1                                |        7 | Palm Wood                                       | logWood                                                                        |                                                                |
| biomesoplenty:log_2                                |        4 | Redwood Wood                                    | logWood                                                                        |                                                                |
| biomesoplenty:log_2                                |        5 | Willow Wood                                     | logWood                                                                        |                                                                |
| biomesoplenty:log_2                                |        6 | Pine Wood                                       | logWood                                                                        |                                                                |
| biomesoplenty:log_2                                |        7 | Hellbark Wood                                   | logWood                                                                        |                                                                |
| biomesoplenty:log_3                                |        4 | Jacaranda Wood                                  | logWood                                                                        |                                                                |
| biomesoplenty:log_3                                |        5 | Mahogany Wood                                   | logWood                                                                        |                                                                |
| biomesoplenty:log_3                                |        6 | Ebony Wood                                      | logWood                                                                        |                                                                |
| biomesoplenty:log_3                                |        7 | Eucalyptus Wood                                 | logWood                                                                        |                                                                |
| biomesoplenty:log_4                                |        4 | Giant Flower Stem                               | logWood                                                                        |                                                                |
| biomesoplenty:log_4                                |        5 | Dead Wood                                       | logWood                                                                        |                                                                |
| biomesoplenty:magic_fence                          |        0 | Magic Fence                                     | fenceWood                                                                      |                                                                |
| biomesoplenty:magic_fence_gate                     |        0 | Magic Fence Gate                                | fenceGateWood                                                                  |                                                                |
| biomesoplenty:magic_stairs                         |        0 | Magic Wood Stairs                               | stairWood                                                                      |                                                                |
| biomesoplenty:mahogany_fence                       |        0 | Mahogany Fence                                  | fenceWood                                                                      |                                                                |
| biomesoplenty:mahogany_fence_gate                  |        0 | Mahogany Fence Gate                             | fenceGateWood                                                                  |                                                                |
| biomesoplenty:mahogany_stairs                      |        0 | Mahogany Wood Stairs                            | stairWood                                                                      |                                                                |
| biomesoplenty:mangrove_fence                       |        0 | Mangrove Fence                                  | fenceWood                                                                      |                                                                |
| biomesoplenty:mangrove_fence_gate                  |        0 | Mangrove Fence Gate                             | fenceGateWood                                                                  |                                                                |
| biomesoplenty:mangrove_stairs                      |        0 | Mangrove Wood Stairs                            | stairWood                                                                      |                                                                |
| biomesoplenty:mud                                  |        0 | Mud                                             | blockMud                                                                       |                                                                |
| biomesoplenty:mudball                              |        0 | Mud Ball                                        | ballMud                                                                        |                                                                |
| biomesoplenty:palm_fence                           |        0 | Palm Fence                                      | fenceWood                                                                      |                                                                |
| biomesoplenty:palm_fence_gate                      |        0 | Palm Fence Gate                                 | fenceGateWood                                                                  |                                                                |
| biomesoplenty:palm_stairs                          |        0 | Palm Wood Stairs                                | stairWood                                                                      |                                                                |
| biomesoplenty:peach                                |        0 | Peach                                           | cropPeach,listAllFood,listAllfruit                                             |                                                                |
| biomesoplenty:pear                                 |        0 | Pear                                            | cropPear,listAllFood,listAllfruit                                              |                                                                |
| biomesoplenty:persimmon                            |        0 | Persimmon                                       | cropPersimmon,listAllFood,listAllfruit                                         |                                                                |
| biomesoplenty:pine_fence                           |        0 | Pine Fence                                      | fenceWood                                                                      |                                                                |
| biomesoplenty:pine_fence_gate                      |        0 | Pine Fence Gate                                 | fenceGateWood                                                                  |                                                                |
| biomesoplenty:pine_stairs                          |        0 | Pine Wood Stairs                                | stairWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        0 | Sacred Oak Wood Planks                          | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        1 | Cherry Wood Planks                              | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        2 | Umbran Wood Planks                              | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        3 | Fir Wood Planks                                 | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        4 | Ethereal Wood Planks                            | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        5 | Magic Wood Planks                               | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        6 | Mangrove Wood Planks                            | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        7 | Palm Wood Planks                                | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        8 | Redwood Wood Planks                             | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |        9 | Willow Wood Planks                              | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |       10 | Pine Wood Planks                                | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |       11 | Hellbark Wood Planks                            | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |       12 | Jacaranda Wood Planks                           | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |       13 | Mahogany Wood Planks                            | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |       14 | Ebony Wood Planks                               | plankWood                                                                      |                                                                |
| biomesoplenty:planks_0                             |       15 | Eucalyptus Wood Planks                          | plankWood                                                                      |                                                                |
| biomesoplenty:plant_0                              |        0 | Short Grass                                     | plantShortgrass                                                                |                                                                |
| biomesoplenty:plant_0                              |        1 | Medium Grass                                    | plantMediumgrass                                                               |                                                                |
| biomesoplenty:plant_0                              |        2 | Bush                                            | plantBush                                                                      |                                                                |
| biomesoplenty:plant_0                              |        3 | Sprout                                          | plantSprout                                                                    |                                                                |
| biomesoplenty:plant_0                              |        4 | Poison Ivy                                      | plantPoisonivy                                                                 |                                                                |
| biomesoplenty:plant_0                              |        5 | Berry Bush                                      | plantBerrybush                                                                 |                                                                |
| biomesoplenty:plant_0                              |        6 | Shrub                                           | plantShrub                                                                     |                                                                |
| biomesoplenty:plant_0                              |        7 | Wheat Grass                                     | plantWheatgrass                                                                |                                                                |
| biomesoplenty:plant_0                              |        8 | Damp Grass                                      | plantDampgrass                                                                 |                                                                |
| biomesoplenty:plant_0                              |        9 | Koru                                            | plantKoru                                                                      |                                                                |
| biomesoplenty:plant_0                              |       10 | Clover Patch                                    | plantCloverpatch                                                               |                                                                |
| biomesoplenty:plant_0                              |       11 | Leaf Pile                                       | plantLeafpile                                                                  |                                                                |
| biomesoplenty:plant_0                              |       12 | Dead Leaf Pile                                  | plantDeadleafpile                                                              |                                                                |
| biomesoplenty:plant_0                              |       13 | Dead Grass                                      | plantDeadgrass                                                                 |                                                                |
| biomesoplenty:plant_0                              |       14 | Desert Grass                                    | plantDesertgrass                                                               |                                                                |
| biomesoplenty:plant_0                              |       15 | Desert Sprouts                                  | plantDesertsprouts                                                             |                                                                |
| biomesoplenty:plant_1                              |        0 | Dune Grass                                      | plantDunegrass                                                                 |                                                                |
| biomesoplenty:plant_1                              |        1 | Spectral Fern                                   | plantSpectralfern                                                              |                                                                |
| biomesoplenty:plant_1                              |        2 | Thorns                                          | plantThorn                                                                     |                                                                |
| biomesoplenty:plant_1                              |        3 | Wild Rice                                       | plantWildrice                                                                  |                                                                |
| biomesoplenty:plant_1                              |        4 | Cattail                                         | plantCattail                                                                   |                                                                |
| biomesoplenty:plant_1                              |        5 | River Cane                                      | plantRivercane,stickWood                                                       |                                                                |
| biomesoplenty:plant_1                              |        6 | Tiny Cactus                                     | plantTinycactus                                                                |                                                                |
| biomesoplenty:plant_1                              |        7 | Devilweed                                       | plantDevilweed                                                                 |                                                                |
| biomesoplenty:plant_1                              |        8 | Reed                                            | plantReed                                                                      |                                                                |
| biomesoplenty:plant_1                              |        9 | Root                                            | plantRoot                                                                      |                                                                |
| biomesoplenty:plant_1                              |       10 | Rafflesia                                       | plantRafflesia                                                                 |                                                                |
| biomesoplenty:plant_1                              |       11 | Barley                                          | plantBarley                                                                    |                                                                |
| biomesoplenty:record_wanderer                      |        0 | Music Disc                                      | record                                                                         |                                                                |
| biomesoplenty:redwood_fence                        |        0 | Redwood Fence                                   | fenceWood                                                                      |                                                                |
| biomesoplenty:redwood_fence_gate                   |        0 | Redwood Fence Gate                              | fenceGateWood                                                                  |                                                                |
| biomesoplenty:redwood_stairs                       |        0 | Redwood Wood Stairs                             | stairWood                                                                      |                                                                |
| biomesoplenty:ricebowl                             |        0 | Bowl of Rice                                    | foodBowlofrice,listAllFood                                                     |                                                                |
| biomesoplenty:sacred_oak_fence                     |        0 | Sacred Oak Fence                                | fenceWood                                                                      |                                                                |
| biomesoplenty:sacred_oak_fence_gate                |        0 | Sacred Oak Fence Gate                           | fenceGateWood                                                                  |                                                                |
| biomesoplenty:sacred_oak_stairs                    |        0 | Sacred Oak Wood Stairs                          | stairWood                                                                      |                                                                |
| biomesoplenty:sapling_0                            |        0 | Yellow Autumn Sapling                           | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        1 | Orange Autumn Sapling                           | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        2 | Bamboo Sapling                                  | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        3 | Magic Sapling                                   | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        4 | Umbran Sapling                                  | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        5 | Dead Sapling                                    | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        6 | Fir Sapling                                     | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_0                            |        7 | Ethereal Sapling                                | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_1                            |        0 | Origin Sapling                                  | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_1                            |        1 | Pink Cherry Sapling                             | treeSapling                                                                    |                                                                |
| biomesoplenty:sapling_1                            |        2 | White Cherry Sapling                            | treeSapling                                                                    |                                                                |
